대회명,카테고리,시도명,시군구명,위도,경도
제1회 인천연수구청장배 트레일런대회,트레일런,인천광역시,인천,37.456042,126.705247
제20회 창녕부곡온천 마라톤,마라톤,경상남도,창녕,35.237795,128.691934
2026 성주참외전국마라톤대회,마라톤,경상북도,성주,36.576118,128.505713
2026 부천국제10km로드레이스,마라톤,경기도,부천,37.289349,127.05351
제27회 3.1절 건강달리기,마라톤,강원특별자치도,춘천,37.885417,127.731015
2026 저스트 RUN10 세종,마라톤,세종특별자치시,세종,36.480052,127.289034
2026 WINTER 평창 알몸마라톤,마라톤,강원특별자치도,평창,37.885417,127.731015
2026 PIS전국마스터즈1500M수영대회,수영,서울특별시,서울,37.566309,126.977818
2026 진주지역 달림이 합동훈련,기타,경상남도,진주,35.237795,128.691934
2026 코리아 스노우 트레일,트레일런,강원특별자치도,평창,37.885417,127.731015
2026 거제 산방산 임도런,트레일런,경상남도,거제,35.237795,128.691934
2025 하남시육상연맹 클럽 대항전 마라톤대회,마라톤,경기도,하남,37.289349,127.05351
제35회 진주마라톤대회,마라톤,경상남도,진주,35.237795,128.691934
2025 제4회기장군 육상연맹 마라톤대회,마라톤,부산광역시,부산,35.179922,129.075086
2025 스노우애슬론,기타,강원특별자치도,평창,37.885417,127.731015
제19회 양산전국하프마라톤,마라톤,경상남도,양산,35.237795,128.691934
카카오페이 X 션과 함께 | 2025 LONG RUN,마라톤,경기도,하남,37.289349,127.05351
2025 KIS 트레일레이스,트레일런,대구광역시,대구,35.871546,128.601209
제3회 영남알프스 전국하프 마라톤대회,마라톤,울산광역시,울산,35.53794,129.311255
2025 스포츠서울 하프 마라톤,마라톤,서울특별시,서울,37.566309,126.977818
2025 무등산 구석구석 트레킹탐방,걷기/트레킹,광주광역시,광주,35.160098,126.851452
2025 포항마라톤 챔피언십,마라톤,경상북도,포항,36.576118,128.505713
버닝런스토리 일레븐,마라톤,서울특별시,서울,37.566309,126.977818
2025 IFEZ 영종·청라 코리아맨 듀애슬론 대회,듀애슬론,인천광역시,인천,37.456042,126.705247
2025 긍정 하프 마라톤,마라톤,서울특별시,서울,37.566309,126.977818
제20회 광진구연맹회장배 육상대회,육상,서울특별시,서울,37.566309,126.977818
2025 슬로우런,마라톤,서울특별시,서울,37.566309,126.977818
제1회 황영조와 함께하는 전국 로드레이스,마라톤,인천광역시,인천,37.456042,126.705247
2025 남해트레일레이스,트레일런,경상남도,남해,35.237795,128.691934
2025 산악인의밤,기타,서울특별시,서울,37.566309,126.977818
2025 미니언즈 런 부산,마라톤,부산광역시,부산,35.179922,129.075086
2025 YTN 서울투어 마라톤,마라톤,서울특별시,서울,37.566309,126.977818
2025 인천마라톤,마라톤,인천광역시,인천,37.456042,126.705247
2025 경산 삼성현 전국마라톤,마라톤,경상북도,경산,36.576118,128.505713
2025 김대중마라톤,마라톤,전라남도,목포,34.817199,126.463544
JUST RUN10,마라톤,대전광역시,대전,36.35038,127.384628
제18회 하남시장기 트랙왕 대회,육상,경기도,하남,37.289349,127.05351
서울 라이프마라톤2025,마라톤,서울특별시,서울,37.566309,126.977818
2025 마인드 런 페스티벌,마라톤,경기도,하남,37.289349,127.05351
제20회 울산인권마라톤대회,마라톤,울산광역시,울산,35.53794,129.311255
2025 평화통일마라톤,마라톤,서울특별시,서울,37.566309,126.977818
핏땀런 2025,마라톤,서울특별시,서울,37.566309,126.977818
2025 다둔 스카이레이스,트레일런,강원특별자치도,원주,37.885417,127.731015
2025 MBN 서울마라톤,마라톤,서울특별시,서울,37.566309,126.977818
AR SPEED TRACK 2026,육상,서울특별시,서울,37.566309,126.977818
2025 월드비전 글로벌 6K 마라톤_고양,마라톤,경기도,고양,37.289349,127.05351
성남YMCA와 함께하는 물빛정원 탄천 마라톤대회,마라톤,경기도,성남,37.289349,127.05351
2025 제3회 거제 노자산 트레일런,트레일런,경상남도,거제,35.237795,128.691934
2025 팔당 건강달리기대회,마라톤,경기도,광주,37.289349,127.05351
제4회 거제 앵산 트레일 레이스,트레일런,경상남도,거제,35.237795,128.691934
2025 전국사상ECO마라톤,마라톤,부산광역시,부산,35.179922,129.075086
2025년 제25회 안성맞춤전국마라톤대회,마라톤,경기도,안성,37.289349,127.05351
제19회 자원봉사사랑 굿펀마라톤대회,마라톤,서울특별시,서울,37.566309,126.977818
SaveRace 2025,마라톤,서울특별시,서울,37.566309,126.977818
Go Free Run 2025,마라톤,서울특별시,서울,37.566309,126.977818
2025 자유민주 마라톤,마라톤,서울특별시,서울,37.566309,126.977818
2025 김천전국 마라톤대회,마라톤,경상북도,김천,36.576118,128.505713
2025 영천댐 마라톤,마라톤,경상북도,영천,36.576118,128.505713
2025 슈퍼블루마라톤,마라톤,서울특별시,서울,37.566309,126.977818
2025 월드비전 글로벌 6K 마라톤 대전,마라톤,대전광역시,대전,36.35038,127.384628
2025 펀커피 트레일 런,트레일런,경상북도,칠곡,36.576118,128.505713
제18회 진해마라톤대회,마라톤,경상남도,창원,35.237795,128.691934
제1회 스타와 함께하는 기부런,마라톤,서울특별시,서울,37.566309,126.977818
2025 문경 레전드트레일,트레일런,경상북도,문경,36.576118,128.505713
2025 오들로 북한산 트레일,트레일런,경기도,고양,37.289349,127.05351
2025 DMZ OPEN 평화마라톤,마라톤,경기도,파주,37.289349,127.05351
유플러스 119 메모리얼런,마라톤,세종특별자치시,세종,36.480052,127.289034
2025 증평인삼 전국 산악 자전거대회_자전거,자전거,충청북도,증평,36.635379,127.49142
제17회 영남알프스 전국MTB챌린지,자전거,울산광역시,울산,35.53794,129.311255
2025 인천광역시철인3종협회장배 학생 아쿠아슬론대회,아쿠아슬론,인천광역시,인천,37.456042,126.705247
제6회 구례 새나라 마라톤 대회,마라톤,전라남도,구례,34.817199,126.463544
제21회 울진 트라이애슬론 대회,철인3종,경상북도,울진,36.576118,128.505713
2025 오티즘 레이스,마라톤,서울특별시,서울,37.566309,126.977818
제2회 캐니크로스 장수,기타,전북특별자치도,장수,35.819463,127.106389
SEOUL 10K CHALLENGE,마라톤,서울특별시,서울,37.566309,126.977818
2025 감성런,마라톤,서울특별시,서울,37.566309,126.977818
금산인삼의 날 제정 기념 금산인삼첼로 GRANFONDO,그란폰도,충청남도,금산,36.659066,126.672968
2025 아시아오픈마라톤,마라톤,서울특별시,서울,37.566309,126.977818
2025 정읍 내장산 트레일,트레일런,전북특별자치도,정읍,35.819463,127.106389
제24회 충주마라톤,마라톤,충청북도,충주,36.635379,127.49142
2025 글로벌 6k 마라톤 - 대구,마라톤,대구광역시,대구,35.871546,128.601209
2025 제2회 나이트런 인 밀양,마라톤,경상남도,밀양,35.237795,128.691934
2025 전국소방공무원 해운대LCT계단오르기대회,계단오르기,부산광역시,부산,35.179922,129.075086
2025 UTNP,기타,울산광역시,울주,35.53794,129.311255
제19회 동두천 왕방산MTB대회_자전거,자전거,경기도,동두천,37.289349,127.05351
2025 BIANCHI GRANFONDO CHUNCHEON,그란폰도,강원특별자치도,춘천,37.885417,127.731015
제22회 오산독산성 전국 하프마라톤,마라톤,경기도,오산,37.289349,127.05351
제21회 대구 북구사랑 마라톤,마라톤,대구광역시,대구,35.871546,128.601209
천안 꽈자런 2025,마라톤,충청남도,천안,36.659066,126.672968
2025 갤럭시 워치런 @사파리,마라톤,경기도,용인,37.289349,127.05351
2025 월드비전 글로벌 6K 마라톤_전주,마라톤,전북특별자치도,전주,35.819463,127.106389
제4회 금오산 트레일 레이스,트레일런,경상북도,구미,36.576118,128.505713
제6회 충청남도 태안 전국어울림마라톤대회,마라톤,충청남도,태안,36.659066,126.672968
2025 삼성화재 챌린지 레이스,마라톤,서울특별시,서울,37.566309,126.977818
2025년 렛츠런파크 서울 경주로마라톤,마라톤,경기도,과천,37.289349,127.05351
2025 고령군수배 대가야 전국 철인3종 대회,철인3종,경상북도,고령,36.576118,128.505713
2025 베어 트레일 캠프,트레일런,강원특별자치도,태백,37.885417,127.731015
2025 경주국제마라톤,마라톤,경상북도,경주,36.576118,128.505713
2025 TransJeju By UTMB,트레일런,제주특별자치도,제주,33.488736,126.498582
2025 뉴런 한강마라톤,마라톤,경기도,하남,37.289349,127.05351
제11회 시흥전국하프마라톤대회,마라톤,경기도,시흥,37.289349,127.05351
2025 SEOUL RACE,마라톤,서울특별시,서울,37.566309,126.977818
2025 MBN 전국나주마라톤대회,마라톤,전라남도,나주,34.817199,126.463544
빵빵런 2025 in 대전,마라톤,대전광역시,대전,36.35038,127.384628
댕댕런 2025 in 대전,마라톤,대전광역시,대전,36.35038,127.384628
2025 익산 트레일 레이스,트레일런,전북특별자치도,익산,35.819463,127.106389
2025 대전 트레일 레이스,트레일런,대전광역시,대전,36.35038,127.384628
DISNEY RUN SEOUL 2025,마라톤,서울특별시,서울,37.566309,126.977818
2025 한글런,마라톤,세종특별자치시,세종,36.480052,127.289034
2025 애니멀런 서울,마라톤,서울특별시,서울,37.566309,126.977818
2025 수원교구 생명사랑 마라톤,마라톤,경기도,수원,37.289349,127.05351
2025 천사데이기념 동두천천사마라톤,마라톤,경기도,동두천,37.289349,127.05351
제22회 강남국제평화마라톤,마라톤,서울특별시,서울,37.566309,126.977818
2025 김제새만금 지평선마라톤,마라톤,전북특별자치도,김제,35.819463,127.106389
제2회 울트라런서울,마라톤,서울특별시,서울,37.566309,126.977818
2025 달려,기타,서울특별시,서울,37.566309,126.977818
2025 공주백제마라톤,마라톤,충청남도,공주,36.659066,126.672968
제22회 경남마라톤대회,마라톤,경상남도,창원,35.237795,128.691934
2025 봉화송이 전국마라톤,마라톤,경상북도,봉화,36.576118,128.505713
2025 인제 와일드 트레일,트레일런,강원특별자치도,인제,37.885417,127.731015
2025 완주 트레일런,트레일런,전북특별자치도,완주,35.819463,127.106389
제5회 블랙야크 클럽데이,기타,강원특별자치도,춘천,37.885417,127.731015
2025소아암 히어로런,마라톤,서울특별시,서울,37.566309,126.977818
글로벌 허브 부산 런페스타,마라톤,부산광역시,부산,35.179922,129.075086
제21회 전우마라톤,마라톤,서울특별시,서울,37.566309,126.977818
경북도청 이전 10주년 경북 하프 마라톤,마라톤,경상북도,예천,36.576118,128.505713
제2회 리스펙트런,마라톤,경기도,하남,37.289349,127.05351
제6회 장수트레일레이스 with 노스페이스,트레일런,전북특별자치도,장수,35.819463,127.106389
2025 굿네이버스 레이스 with 띵크어스,마라톤,서울특별시,서울,37.566309,126.977818
제25회 강화해변마라톤대회,마라톤,인천광역시,강화,37.456042,126.705247
2025 한돈런,마라톤,경기도,하남,37.289349,127.05351
2025서울시 도그스포츠대회,기타,서울특별시,서울,37.566309,126.977818
2025 세븐브릿지 투어,자전거,부산광역시,부산,35.179922,129.075086
2025 춘천 스카이레이스,트레일런,강원특별자치도,춘천,37.885417,127.731015
2025 V런,마라톤,서울특별시,서울,37.566309,126.977818
산리오X올리브영 큐티런,마라톤,서울특별시,서울,37.566309,126.977818
2025 레드푸드레이스,마라톤,전북특별자치도,장수,35.819463,127.106389
레드불 400 (결승),계단오르기,강원특별자치도,평창,37.885417,127.731015
레드불 400 (예선),계단오르기,강원특별자치도,평창,37.885417,127.731015
2025 월드비전 글로벌 6K 마라톤_창원,마라톤,경상남도,창원,35.237795,128.691934
2025인천서구청장배 단축마라톤,마라톤,인천광역시,인천,37.456042,126.705247
제15회 스마일런 페스티벌,마라톤,서울특별시,서울,37.566309,126.977818
2025마블런,마라톤,서울특별시,서울,37.566309,126.977818
제4회 울산 동구 염포산 전국마라톤대회,마라톤,울산광역시,울산,35.53794,129.311255
2025구리시민건강걷기대회,걷기/트레킹,경기도,구리,37.289349,127.05351
2025 영덕 블루로드 코리아둘레길 트레일런,트레일런,경상북도,영덕,36.576118,128.505713
제25회 문화체육관광부장관배 전국 트라이애슬론 선수권 대회,철인3종,전북특별자치도,익산,35.819463,127.106389
2025 WCTR,기타,강원특별자치도,원주,37.885417,127.731015
2025 구미 에코 트레일,트레일런,경상북도,구미,36.576118,128.505713
제17회 사이버 영토 수호 마라톤,마라톤,서울특별시,서울,37.566309,126.977818
2025 RUN SEOUL RUN,마라톤,서울특별시,서울,37.566309,126.977818
제5회 창원특례시 마산만 전국 트라이애슬론 대회,철인3종,경상남도,창원,35.237795,128.691934
2025 영동 세계 국악엑스포 자전거 대회,자전거,충청북도,영동,36.635379,127.49142
UKE와 함께하는 2025 양평그란폰도,그란폰도,경기도,양평,37.289349,127.05351
제14회 이사부장군배 삼척그레이트맨 철인3종대회,철인3종,강원특별자치도,삼척,37.885417,127.731015
제4회 동작구연맹회장배 마라톤대회,마라톤,서울특별시,서울,37.566309,126.977818
2025 다이나핏 태백 트레일,트레일런,강원특별자치도,태백,37.885417,127.731015
2025 단양 달빛레이스,마라톤,충청북도,단양,36.635379,127.49142
2025 영암모터피아 페스티벌,기타,전라남도,영암,34.817199,126.463544
2025 Tour de DMZ 고성그란폰도,그란폰도,경기도,고양,37.289349,127.05351
제17회 전국해양스포츠제전,해양스포츠,경기도,시흥,37.289349,127.05351
2024 여주시 세종대왕 한글 사랑 자전거 랠리,자전거,경기도,여주,37.289349,127.05351
무한도전 Run with 쿠팡플레이 in 부산,마라톤,부산광역시,부산,35.179922,129.075086
제26회 금수산 전국 산악마라톤대회,마라톤,충청북도,제천,36.635379,127.49142
제2회 Go대관령 트레일런,트레일런,강원특별자치도,평창,37.885417,127.731015
2025 챌린지 군산-새만금,기타,전북특별자치도,군산,35.819463,127.106389
2025 장수 쿨밸리 트레일레이스,트레일런,전북특별자치도,장수,35.819463,127.106389
2025 울주해양레포츠대축전 아쿠아슬론대회,아쿠아슬론,울산광역시,울산,35.53794,129.311255
2025 제15회 태종대 전국마라톤대회,마라톤,부산광역시,부산,35.179922,129.075086
2025 울릉도 국제 트레일러닝 대회,트레일런,경상북도,울릉,36.576118,128.505713
2025 TRIAL MAKIA,기타,제주특별자치도,제주시,33.488736,126.498582
2025 춘천 배후령 힐클라임 메디오폰도,자전거,강원특별자치도,춘천,37.885417,127.731015
제11회 제주시체육회장배 바다수영대회,수영,제주특별자치도,제주시,33.488736,126.498582
2025 LOTTE AQUATHLON 롯데 아쿠아슬론 대회,아쿠아슬론,서울특별시,서울,37.566309,126.977818
제5회 정선 동강 그란폰도,그란폰도,강원특별자치도,정선,37.885417,127.731015
제18회 하남시육상연맹회장기 트랙왕대회,육상,경기도,하남,37.289349,127.05351
2025 KOREA 50K CC,트레일런,강원특별자치도,춘천,37.885417,127.731015
2025 나주영산강철인3종대회,철인3종,전라남도,나주,34.817199,126.463544
2024 고령군수배 대가야 전국 철인3종 대회,철인3종,경상북도,고령,36.576118,128.505713
2025 동해 스카이레이스,트레일런,강원특별자치도,동해,37.885417,127.731015
제20회 울릉도 국제 마라톤대회,마라톤,경상북도,울릉,36.576118,128.505713
2025 빵트레일런,트레일런,강원특별자치도,정선,37.885417,127.731015
2025 시그니처 63 RUN,계단오르기,서울특별시,서울,37.566309,126.977818
2025 수원트레일레이스,트레일런,경기도,수원,37.289349,127.05351
2025 제주 오름 트레일,트레일런,제주특별자치도,제주,33.488736,126.498582
2025 제9회 포항철강마라톤,마라톤,경상북도,포항,36.576118,128.505713
2025 모모스트레일,트레일런,부산광역시,부산,35.179922,129.075086
2025 아이언맨 70.3 고성,철인3종,경상남도,고성,35.237795,128.691934
2025 월드비전 글로벌 6K 마라톤,마라톤,서울특별시,서울,37.566309,126.977818
2025 청춘런,마라톤,서울특별시,서울,37.566309,126.977818
제6회 충청북도지사배 충주탄금호 전국 철인3종 경기대회,철인3종,충청북도,충주,36.635379,127.49142
2025 HARU RUN,마라톤,경기도,하남,37.289349,127.05351
2025 성남 트레일 레이스,트레일런,경기도,성남,37.289349,127.05351
커피 빵빵런 in 강릉,마라톤,강원특별자치도,강릉,37.885417,127.731015
스테어클라이밍 남산 672,계단오르기,서울특별시,서울,37.566309,126.977818
2025년 제5회 크리테리움챔피언십,자전거,대전광역시,대전,36.35038,127.384628
제12회 거제100K,트레일런,경상남도,거제,35.237795,128.691934
2025 한밭 런앤워크 페스티벌,걷기/트레킹,대전광역시,대전,36.35038,127.384628
무한도전 Run with 쿠팡플레이,마라톤,서울특별시,서울,37.566309,126.977818
2025 옥스팜 트레일워커,걷기/트레킹,강원특별자치도,인제,37.885417,127.731015
제30회 바다의 날 마라톤,마라톤,서울특별시,서울,37.566309,126.977818
2025 남해다랑논마라톤,마라톤,경상남도,남해,35.237795,128.691934
2025 백양산숲길건강달리기대회,마라톤,부산광역시,부산,35.179922,129.075086
제10회 동작구청장배 마라톤대회,마라톤,서울특별시,서울,37.566309,126.977818
제9회달성군수기 생활체육 산악자전거대회,자전거,대구광역시,대구,35.871546,128.601209
2025 TNF 100 GANGWON with VECTIV,기타,강원특별자치도,강원,37.885417,127.731015
제6회 양산시장배 황산 전국 철인3종 대회 겸 꿈나무대표 선발전,철인3종,경상남도,양산,35.237795,128.691934
2025 서울신문 하프마라톤,마라톤,서울특별시,서울,37.566309,126.977818
제18회철강마라톤,마라톤,경기도,하남,37.289349,127.05351
2025 정남진 장흥 철인3종경기대회,철인3종,전라남도,장흥,34.817199,126.463544
2025 제105회양정마라톤,마라톤,서울특별시,서울,37.566309,126.977818
제21회 대구광역시장배 전국 철인3종 대회,철인3종,대구광역시,대구,35.871546,128.601209
제2회 시화호 청소년 환경마라톤,마라톤,경기도,시흥,37.289349,127.05351
2025 가정의달 하하호호 마라톤,마라톤,서울특별시,서울,37.566309,126.977818
BUSAN 50K,트레일런,부산광역시,부산,35.179922,129.075086
2025 운탄고도 스카이레이스,트레일런,강원특별자치도,정선,37.885417,127.731015
2025 도시가스 온런 광주,마라톤,광주광역시,광주,35.160098,126.851452
버닝런 2025,마라톤,서울특별시,서울,37.566309,126.977818
2025 우리은행배 제물포르네상스 국제 마라톤,마라톤,인천광역시,인천,37.456042,126.705247
2025 서울특별시장배 어린이&청소년 트라이애슬론/아쿠아슬론 대회,아쿠아슬론,서울특별시,서울,37.566309,126.977818
제19회 반기문마라톤대회,마라톤,충청북도,음성,36.635379,127.49142
제2회 순창섬진강트레일레이스,트레일런,전북특별자치도,순창,35.819463,127.106389
2025 국민고향 남해마시고RUN,마라톤,경상남도,남해,35.237795,128.691934
25년 제2회 인천 연수구청장배 송도듀애슬론대회,듀애슬론,인천광역시,인천,37.456042,126.705247
2025 빵빵런,마라톤,서울특별시,서울,37.566309,126.977818
2025 전국생활체육대축전,종합스포츠,전라남도,전남,34.817199,126.463544
2025 BLACKYAK TRAILRUN,트레일런,제주특별자치도,제주,33.488736,126.498582
2025 KOREA 50K,트레일런,경기도,동두천,37.289349,127.05351
제19회 2025 단양팔경 걷기 및 마라톤대회,걷기/트레킹,충청북도,단양,36.635379,127.49142
2025 지구런,마라톤,서울특별시,서울,37.566309,126.977818
2025 LOTTE SKY RUN,계단오르기,서울특별시,서울,37.566309,126.977818
제23회 울산커플마라톤대회,마라톤,울산광역시,울산,35.53794,129.311255
제23회 경기마라톤대회,마라톤,경기도,경기,37.289349,127.05351
2025 MBN 선셋마라톤 in 영종,마라톤,인천광역시,인천,37.456042,126.705247
2025 키움런,마라톤,서울특별시,서울,37.566309,126.977818
2025 LOTTE SKY RUN FAMILY,계단오르기,서울특별시,서울,37.566309,126.977818
2025 제2회 해평 마라톤,마라톤,전북특별자치도,남원,35.819463,127.106389
제8회 광진구연맹회장배 육상대회,육상,서울특별시,서울,37.566309,126.977818
제18회영남일보 국제하프마라톤대회,마라톤,대구광역시,대구,35.871546,128.601209
제21회 창원야철마라톤대회,마라톤,경상남도,창원,35.237795,128.691934
제22회 전기사랑 마라톤대회,마라톤,경기도,하남,37.289349,127.05351
2025 행복 원주 GRANFONDO,그란폰도,강원특별자치도,원주,37.885417,127.731015
제10회 서울트래일런대회,마라톤,서울특별시,서울,37.566309,126.977818
2025 서울봄꽃레이스,마라톤,서울특별시,서울,37.566309,126.977818
더 레이스 서울 21K,마라톤,서울특별시,서울,37.566309,126.977818
2025 목포 유달산 마라톤,마라톤,전라남도,목포,34.817199,126.463544
제12회 GIVE ’N RACE,마라톤,부산광역시,부산,35.179922,129.075086
제32회 경주벚꽃마라톤대회,마라톤,경상북도,경주,36.576118,128.505713
제5회 장수트레일레이스,트레일런,전북특별자치도,장수군,35.819463,127.106389
2025 제주 국제 트레일러닝 대회,트레일런,제주특별자치도,제주,33.488736,126.498582
2025 빙그레 Granfondo,그란폰도,충청남도,공주,36.659066,126.672968
제22회 태화강 국제마라톤대회,마라톤,울산광역시,울산,35.53794,129.311255
데상트 210.97 챌린지,기타,서울특별시,서울,37.566309,126.977818
2026 릴레이 마라톤,마라톤,서울특별시,서울,37.566309,126.977818
제26회 인천국제 하프마라톤대회,마라톤,인천광역시,인천,37.456042,126.705247
2026 HEAT&RUN 히트앤런 - YTN,마라톤,서울특별시,서울,37.566309,126.977818
2026 저스트 RUN10 청주,마라탕,충청북도,청주,36.635379,127.49142
2026 남해트레일레이스,트레일런,경상남도,남해,35.237795,128.691934
2026 지리산 봄꽃레이스,마라톤,전라남도,구례,34.817199,126.463544
2026 제6회 버킷런,마라톤,서울특별시,서울,37.566309,126.977818
